loss,V3,V6,V9,V10,V11,V12,V15,V18,pred_detector_active_contact_fraction,pred_detector_active_forward_fraction,pred_detector_contact_angle_theta_mean_deg,pred_detector_contact_angle_theta_sigma_deg,unc_detector_active_contact_fraction,unc_detector_active_forward_fraction,unc_detector_contact_angle_theta_mean_deg,unc_detector_contact_angle_theta_sigma_deg,pred_viability_prob,unc_viability_prob
0.5295990705490112,-970.4632568359375,-883.3782348632812,816.7265625,-39.46234130859375,-124.9364013671875,-821.1183471679688,-335.08343505859375,-153.569580078125,0.9786449670791626,0.9989625811576843,1.5195856094360352,0.862927258014679,0.03208089992403984,0.003060651244595647,0.19620747864246368,0.13207606971263885,0.993533730506897,0.010370252653956413
0.529599130153656,-970.4631958007812,-883.3733520507812,816.72705078125,-39.4619140625,-124.93560791015625,-821.1184692382812,-335.08636474609375,-153.5699462890625,0.9786456823348999,0.9989627599716187,1.5195945501327515,0.8629091382026672,0.03208032622933388,0.0030605262145400047,0.19619368016719818,0.13206763565540314,0.9935342669487,0.010369407944381237
0.529599130153656,-970.4629516601562,-883.3724365234375,816.7271728515625,-39.461669921875,-124.93548583984375,-821.1184692382812,-335.08642578125,-153.569580078125,0.978645920753479,0.9989627599716187,1.5195963382720947,0.8629058003425598,0.032080136239528656,0.003060492454096675,0.19619087874889374,0.13206611573696136,0.9935344457626343,0.010369149968028069
0.5295991897583008,-970.4468383789062,-883.3787231445312,816.7288818359375,-39.45684814453125,-124.930908203125,-821.1072998046875,-335.09161376953125,-153.572509765625,0.9786490201950073,0.9989625215530396,1.5196173191070557,0.8628657460212708,0.03207471966743469,0.0030595390126109123,0.19616886973381042,0.13205614686012268,0.9935345649719238,0.010368794202804565
0.5295992493629456,-970.4630126953125,-883.3724365234375,816.7271728515625,-39.461669921875,-124.93536376953125,-821.1185302734375,-335.08648681640625,-153.56976318359375,0.9786460995674133,0.9989627599716187,1.5195972919464111,0.8629045486450195,0.03208004683256149,0.0030605436768382788,0.19618992507457733,0.13206587731838226,0.9935344457626343,0.010369125753641129
0.5295992493629456,-970.4706420898438,-883.3522338867188,816.5972900390625,-39.45086669921875,-124.92108154296875,-821.1014404296875,-335.04296875,-153.62408447265625,0.9786445498466492,0.9989629983901978,1.5195790529251099,0.8629287481307983,0.03209642693400383,0.0030604503117501736,0.1962796449661255,0.13210353255271912,0.9935306310653687,0.010373309254646301
0.5295992493629456,-970.3958129882812,-883.3985595703125,816.733154296875,-39.45062255859375,-124.92755126953125,-821.0917358398438,-335.09576416015625,-153.58184814453125,0.9786548614501953,0.9989618062973022,1.5196750164031982,0.8627350926399231,0.03206023573875427,0.0030569073278456926,0.19615678489208221,0.13203880190849304,0.9935352206230164,0.010366825386881828
0.5295994281768799,-970.4569702148438,-883.3745727539062,816.727783203125,-39.46014404296875,-124.933837890625,-821.114013671875,-335.08856201171875,-153.5709228515625,0.9786467552185059,0.9989625811576843,1.5196033716201782,0.8628926277160645,0.03207835927605629,0.003060135757550597,0.19618447124958038,0.132063090801239,0.9935344457626343,0.01036912202835083
0.5296005010604858,-970.2752685546875,-883.4773559570312,816.850830078125,-39.42462158203125,-124.90728759765625,-821.030517578125,-335.16302490234375,-153.5576171875,0.9786809086799622,0.9989601373672485,1.5198369026184082,0.8624457120895386,0.03200763463973999,0.00305025652050972,0.19593405723571777,0.13195103406906128,0.9935380816459656,0.010361840948462486
0.5296008586883545,-970.4625244140625,-883.2728881835938,816.73486328125,-39.449462890625,-124.9169921875,-821.1231689453125,-335.096435546875,-153.57489013671875,0.978669285774231,0.9989660978317261,1.5197890996932983,0.8625476956367493,0.03206493705511093,0.003058493137359619,0.19587528705596924,0.13189402222633362,0.9935480356216431,0.010350244119763374
0.5296010375022888,-970.2329711914062,-883.5023803710938,816.87109375,-39.4471435546875,-124.93695068359375,-821.079345703125,-335.13726806640625,-153.5555419921875,0.9786790609359741,0.9989604949951172,1.5198761224746704,0.8623088002204895,0.0319988876581192,0.0030496015679091215,0.19605517387390137,0.13196828961372375,0.9935405850410461,0.010357259772717953
0.5296046137809753,-970.0634765625,-883.5364990234375,816.865966796875,-39.42864990234375,-124.92584228515625,-821.02197265625,-335.15484619140625,-153.59381103515625,0.978689968585968,0.9989574551582336,1.520066738128662,0.8618605732917786,0.03195616975426674,0.0030405153520405293,0.19603872299194336,0.13190461695194244,0.9935433268547058,0.010349569842219353
