case,target_active,target_theta_mean,target_theta_sigma,rank,elapsed_seconds,V3,V6,V9,V10,V11,V12,V15,V18,pred_active,pred_forward,pred_theta_mean,pred_theta_sigma,sim_active,sim_forward,sim_theta_mean,sim_theta_sigma,sim_theta_p95,sim_n_active,sim_n_forward,sim_n_backward,sim_bpm_score
perfect100,1.0,0.0,0.5,1,9.639999999999418,-970.4632568359375,-883.3782348632812,816.7265625,-39.46234130859375,-124.9364013671875,-821.1183471679688,-335.08343505859375,-153.569580078125,0.9786449670791626,0.9989625811576843,1.5195856094360352,0.862927258014679,0.918,1.0,1.6867501,1.09962575,3.83450111,459,459,0,0.9172
perfect100,1.0,0.0,0.5,2,9.5,-970.4631958007812,-883.3733520507812,816.72705078125,-39.4619140625,-124.93560791015625,-821.1184692382812,-335.08636474609375,-153.5699462890625,0.9786456823348999,0.9989627599716187,1.5195945501327515,0.8629091382026672,0.908,1.0,1.72423934,1.5943634,3.0656866,454,454,0,0.9051
perfect100,1.0,0.0,0.5,3,8.65599999999904,-970.4629516601562,-883.3724365234375,816.7271728515625,-39.461669921875,-124.93548583984375,-821.1184692382812,-335.08642578125,-153.569580078125,0.978645920753479,0.9989627599716187,1.5195963382720947,0.8629058003425598,0.92,1.0,1.6728815,0.98999287,3.64450574,460,460,0,0.9193
perfect100,1.0,0.0,0.5,4,9.3279999999977,-970.4468383789062,-883.3787231445312,816.7288818359375,-39.45684814453125,-124.930908203125,-821.1072998046875,-335.09161376953125,-153.572509765625,0.9786490201950073,0.9989625215530396,1.5196173191070557,0.8628657460212708,0.924,1.0,1.73305674,1.19514101,3.51734847,462,462,0,0.9205
perfect100,1.0,0.0,0.5,5,9.014999999999418,-970.4630126953125,-883.3724365234375,816.7271728515625,-39.461669921875,-124.93536376953125,-821.1185302734375,-335.08648681640625,-153.56976318359375,0.9786460995674133,0.9989627599716187,1.5195972919464111,0.8629045486450195,0.924,1.0,1.71957323,1.1474203,3.51398909,462,462,0,0.9212
