loss,V3,V6,V9,V10,V11,V12,V15,V18,pred_detector_active_contact_fraction,pred_detector_active_forward_fraction,pred_detector_contact_angle_theta_mean_deg,pred_detector_contact_angle_theta_sigma_deg,unc_detector_active_contact_fraction,unc_detector_active_forward_fraction,unc_detector_contact_angle_theta_mean_deg,unc_detector_contact_angle_theta_sigma_deg
0.00952647440135479,-837.9611206054688,-829.60498046875,695.944580078125,18.99554443359375,36.383544921875,-561.8431396484375,-113.108154296875,-146.676513671875,0.8020065426826477,1.002036690711975,3.4691855907440186,1.622884750366211,0.03380224108695984,0.004870634991675615,0.0908609926700592,0.011418978683650494
0.009861702099442482,-811.9713134765625,-807.3085327148438,881.8814697265625,-131.0223388671875,-157.59527587890625,-920.2325439453125,-224.64666748046875,-13.876220703125,0.8001171350479126,1.000956416130066,3.5024542808532715,1.597985029220581,0.02457672916352749,0.0038265010807663202,0.04880078136920929,0.029956219717860222
0.010171212255954742,-725.8046264648438,-972.4874267578125,861.940185546875,-36.98095703125,-62.17132568359375,-733.4087524414062,-330.6578369140625,-104.9603271484375,0.7994597554206848,1.0001599788665771,3.501145839691162,1.59001886844635,0.027925102040171623,0.0019080433994531631,0.0010102938394993544,0.09150853008031845
0.010211216285824776,-882.7725830078125,-763.6369018554688,523.79345703125,-16.78167724609375,-25.744384765625,-681.1091918945312,-129.7625732421875,-258.9990234375,0.8103553652763367,0.998970627784729,3.4743571281433105,1.6148321628570557,0.05470837652683258,0.0044038197956979275,0.03609229624271393,0.02097894996404648
0.01303283590823412,-843.3475341796875,-922.212890625,932.287841796875,-7.1536865234375,-119.9013671875,-731.9718017578125,140.330322265625,-341.37359619140625,0.8040464520454407,0.9995196461677551,3.4469833374023438,1.6189966201782227,0.040999885648489,0.008225626312196255,0.05271148309111595,0.05636867508292198
0.016189923509955406,-971.607177734375,-756.1380615234375,858.6212158203125,81.56201171875,206.73583984375,-456.1973876953125,-555.795166015625,6.97052001953125,0.7987449765205383,1.0045251846313477,3.453545093536377,1.634812593460083,0.10266509652137756,0.012773113325238228,0.015399833209812641,0.1338510364294052
0.01710079424083233,-816.995361328125,-737.1768798828125,885.831298828125,139.1011962890625,235.344482421875,-404.9501953125,-370.6505126953125,-43.9542236328125,0.7966251373291016,1.0015132427215576,3.4697647094726562,1.6509605646133423,0.03405504301190376,0.003857656614854932,0.10928238183259964,0.1667344719171524
0.021755238994956017,-801.90673828125,-887.2000732421875,588.762939453125,171.786865234375,34.0843505859375,-476.9490966796875,-62.06787109375,-856.9061279296875,0.7978413701057434,0.9803657531738281,3.5273399353027344,1.5915049314498901,0.09705747663974762,0.03826763480901718,0.010184453800320625,0.25417372584342957
0.02188308909535408,-972.8965454101562,-641.8045654296875,763.0186767578125,210.5799560546875,329.2696533203125,-237.64599609375,-328.6134033203125,-305.1737060546875,0.8020015954971313,1.0032178163528442,3.4928536415100098,1.6540963649749756,0.1088244840502739,0.015367935411632061,0.09562424570322037,0.22135992348194122
0.022644350305199623,-997.9691772460938,-690.9727783203125,706.6976318359375,-61.809814453125,124.6168212890625,-903.0191040039062,103.767333984375,88.7811279296875,0.8019706010818481,0.9927448034286499,3.4039406776428223,1.6686809062957764,0.046689700335264206,0.01374896802008152,0.034876756370067596,0.2611139118671417
