score,sample_mode,V3,V6,V9,V10,V11,V12,V15,V18,pred_viability_prob,unc_viability_prob,pred_detector_active_contact_fraction,unc_detector_active_contact_fraction,pred_detector_active_forward_fraction,unc_detector_active_forward_fraction,pred_detector_contact_angle_theta_mean_deg,unc_detector_contact_angle_theta_mean_deg,pred_detector_contact_angle_theta_sigma_deg,unc_detector_contact_angle_theta_sigma_deg,pred_derived_vz_sigma_residual,unc_derived_vz_sigma_residual,derived_vz_mean,derived_vz_sigma_physics,derived_vz_sigma_corrected
1.8312734139874984,local_gaussian,-1000.0,-574.1222574424626,534.3789229210994,211.20926125222275,299.0848116173219,-448.2586833012417,-230.80163762493086,153.01923899879648,0.5321190357208252,0.3428490161895752,0.35599270462989807,0.11920709162950516,0.8340824246406555,0.09795568138360977,4.125502586364746,1.1363348960876465,3.03684139251709,0.39268919825553894,0.42693787813186646,0.16820935904979706,130.0986734757827,0.5605049909280306,0.9874428690598971
1.716499441573132,local_gaussian,-979.3437209996232,-675.6644927504115,1000.0,-190.26918643624447,-51.218818947089424,-933.9307917402455,766.8915931884882,-551.773677696721,0.6928097605705261,0.35758113861083984,0.44061893224716187,0.13931919634342194,0.957568347454071,0.021136457100510597,5.6469855308532715,1.263997197151184,2.4997754096984863,0.5386769771575928,0.4919334053993225,0.08625821024179459,129.86245014738026,0.5868639020651185,1.078797307464441
1.701353062415284,local_gaussian,-1000.0,-642.3260246058093,1000.0,-201.37778209220198,-42.39742102968182,-934.3978954960248,-111.3926337157947,553.0027351745485,0.5659259557723999,0.4439969062805176,0.20782384276390076,0.062192652374506,0.9454458951950073,0.06149590015411377,7.389524936676025,0.7167457342147827,3.5853049755096436,0.956129252910614,0.1845967024564743,0.2680036127567291,129.28179989863045,1.108568727634698,1.2931654300911724
1.6986890708110793,local_gaussian,-960.45112125227,-1000.0,424.91329044435304,-26.317951674388244,-470.1675927120786,-1000.0,234.54184773959298,-573.5045435790329,0.430739164352417,0.20139603316783905,0.5156431794166565,0.19811590015888214,0.8722320795059204,0.09698169678449631,7.955713748931885,1.5766692161560059,2.7235934734344482,0.6844729781150818,0.22387301921844482,0.26298725605010986,129.2167534365617,0.882898035224688,1.1067710544431328
1.644675896931194,local_gaussian,-1000.0,-736.5764547644771,481.6000320387111,208.7252844316115,212.71549660992568,-469.62774080355297,-232.52384107626136,-741.9734131191328,0.4589351713657379,0.3458726406097412,0.4346851706504822,0.01728925108909607,0.9958259463310242,0.011279242113232613,5.2531819343566895,0.5687786936759949,3.002042055130005,0.22730545699596405,0.39669764041900635,0.16332891583442688,129.89295632224244,0.6746403455769977,1.0713379859960042
1.6319957772260003,local_gaussian,-917.0972194549562,-1000.0,1000.0,-176.59930823438393,56.75780473393287,-688.7996818500003,623.7112701565026,-186.3163854398241,0.5662816762924194,0.4157254993915558,0.1338784247636795,0.06006046012043953,0.8504739999771118,0.025633374229073524,5.992825508117676,0.825680673122406,1.9999401569366455,0.5112161636352539,0.1259886771440506,0.1843917816877365,129.8270441054859,0.48869754081171957,0.6146862179557702
1.629694467742638,local_gaussian,-1000.0,-807.8877032676428,-54.51545965913374,54.91339160691665,146.8050458715061,-1000.0,-120.65668771773788,-436.84970435080527,0.5454108119010925,0.291398823261261,0.2741423547267914,0.04375936836004257,0.8348514437675476,0.12221727520227432,5.217926025390625,1.3479112386703491,2.1494719982147217,0.5294086337089539,0.19439947605133057,0.09322389215230942,129.9872055622312,0.4637442543162262,0.6581437303675568
1.5972573833268062,local_gaussian,-1000.0,-919.3239842063829,847.490954742762,157.74909757816408,243.407362674134,-473.8191737077406,196.64764879273457,-554.1838559990508,0.7029411792755127,0.3677152395248413,0.47209686040878296,0.05970936268568039,0.9538599252700806,0.03671110048890114,4.223410606384277,0.45958343148231506,2.5915751457214355,0.3477613925933838,0.6859092116355896,0.20074762403964996,130.1321112730952,0.4736812752824522,1.1595904869180418
1.586783197089273,local_gaussian,-953.7504421935992,-1000.0,1000.0,-116.38398119585688,178.13404584398916,-757.3973390718512,-330.14783017637194,-81.37816938739164,0.6713095903396606,0.3339216113090515,0.3585059642791748,0.07958129048347473,0.9380125999450684,0.04595281928777695,6.4523606300354,0.8338685035705566,3.2702999114990234,0.18845665454864502,0.06591727584600449,0.1650085747241974,129.5813557108182,0.8881290471892691,0.9540463230352736
1.5835945165016891,local_gaussian,-119.16785358221352,-724.1709161671495,384.46655915072824,-110.91924940416547,-208.51847407436972,-914.4430114285116,656.619484537372,-672.7729617755642,0.48325496912002563,0.29149365425109863,0.21756716072559357,0.06527188420295715,0.9990736842155457,0.05145947262644768,10.173583030700684,2.6357357501983643,6.174444675445557,1.993377685546875,0.8916217684745789,0.2430783212184906,127.82191399066103,2.685546508534604,3.577168277009183
1.579740167887125,local_gaussian,-910.9166694988623,-1000.0,1000.0,-138.9140021000283,195.21110279144534,-693.3430176033271,486.64745464471173,-190.08049220646888,0.4532913267612457,0.4354242980480194,0.09768564254045486,0.05956975370645523,0.7467743754386902,0.10489661246538162,6.075427055358887,0.7642697095870972,2.732430934906006,0.7911139726638794,0.18080340325832367,0.14402292668819427,129.73874509093702,0.6908028071205966,0.8716062103789203
1.574909113206533,local_gaussian,-1000.0,-871.0862906741421,1000.0,-242.47927054333215,103.09117006623872,-1000.0,28.661059600103783,-10.160452909316831,0.4765044152736664,0.3774733245372772,0.15866002440452576,0.04301120340824127,0.9224569201469421,0.024581274017691612,6.741549491882324,0.8247336745262146,2.9112067222595215,0.6048351526260376,0.17901279032230377,0.07367799431085587,129.54952971636916,0.8132442816831876,0.9922570720054914
1.5729897957141366,local_gaussian,-956.7069194732095,-992.8586078680471,906.2150897235599,-215.58676018191753,43.53955900730337,-804.1733657525217,-18.113004233683604,-185.12014791521295,0.5525011420249939,0.3143574595451355,0.20202426612377167,0.038244884461164474,0.943896472454071,0.0401802659034729,8.814077377319336,0.34039774537086487,2.5267791748046875,0.33292827010154724,-0.03478284925222397,0.16707248985767365,128.95201944935567,0.89945941783195,0.8646765685797261
1.5718146733399334,local_gaussian,-693.1821556344248,-1000.0,957.6155591521795,-211.18784470484536,88.68375964247112,-803.1009098946888,34.47395169728611,-186.35124710610634,0.5116692781448364,0.29465529322624207,0.17121678590774536,0.054545365273952484,0.910185694694519,0.026446474716067314,9.872190475463867,0.9332584738731384,4.413917064666748,1.1728942394256592,-0.057758480310440063,0.20188546180725098,128.30457132973,1.802439610614869,1.744681130304429
1.5709944356158065,between_elites,297.9239251126141,-1000.0,691.4208851643414,-134.0409208844418,172.3548138683705,-1000.0,-157.14937045433356,-1000.0,0.5430203676223755,0.10725798457860947,0.3707168400287628,0.0438283272087574,0.9993292689323425,0.007794039323925972,13.761685371398926,0.18322359025478363,6.800546169281006,0.2702207863330841,0.5587242245674133,0.09015907347202301,125.97984626484903,3.8712757498992807,4.4299999744666945
1.543325488206803,local_gaussian,319.2646361704181,-958.7588155168803,772.7468339983371,-105.71598600751018,167.31495253101116,-924.1467701829539,-140.71354286346423,-1000.0,0.6007083058357239,0.10525193810462952,0.5363446474075317,0.07729055732488632,0.9977310299873352,0.00911893229931593,8.956619262695312,0.21296259760856628,5.097092628479004,0.24839697778224945,0.6594672203063965,0.045499227941036224,128.5177284646655,1.940179931870885,2.5996471521772815
