score,sample_mode,V3,V6,V9,V10,V11,V12,V15,V18,pred_detector_active_contact_fraction,unc_detector_active_contact_fraction,pred_detector_active_forward_fraction,unc_detector_active_forward_fraction,pred_detector_contact_angle_theta_mean_deg,unc_detector_contact_angle_theta_mean_deg,pred_detector_contact_angle_theta_sigma_deg,unc_detector_contact_angle_theta_sigma_deg
1.2583857901916655,local_gaussian,-1000.0,-1000.0,457.6638474430789,-125.28861084533024,152.93070474832754,-1000.0,-473.01138000648257,181.6712267211522,0.5524088740348816,0.20991967618465424,0.9465090036392212,0.1332770437002182,5.68610954284668,0.5166274309158325,3.6974480152130127,0.23823589086532593
1.1344268333414356,local_gaussian,-332.41276548628264,-1000.0,193.09937160530785,30.874352790735472,-65.83241751226026,-809.3867524323788,-55.774920679866916,-1000.0,0.4169260859489441,0.15885722637176514,0.9812138676643372,0.019691012799739838,8.016843795776367,1.1484057903289795,5.1659345626831055,0.6666711568832397
1.1293010533530545,local_gaussian,-706.656291544748,-1000.0,720.7793782090635,8.650677537081862,-197.3722184220533,-940.6645924646251,-13.751975741814874,-876.0074857119766,0.5575867891311646,0.12241075187921524,1.004005789756775,0.02169402688741684,5.026059627532959,0.7452989220619202,3.0478675365448,0.9476931691169739
1.1040217562337424,axis_scan,-860.481,-287.03599999999994,935.296,-96.892,-146.537,-914.085,-212.817,-67.9668,0.4956105351448059,0.07879256457090378,0.9775720834732056,0.023023225367069244,11.306526184082031,1.6040010452270508,6.239550590515137,1.439293622970581
1.0958750913090172,local_gaussian,-1000.0,-1000.0,621.2067864159997,109.2054919946112,-67.11463660266526,-654.7999896105922,371.4710993686607,-848.507922936585,0.529920220375061,0.08949559926986694,0.7728397250175476,0.17194625735282898,2.1342971324920654,2.210283041000366,2.003495216369629,0.9705249071121216
1.09358106792641,local_gaussian,-849.2147540724619,-712.851651314017,971.3830854348006,-203.39267992805972,-183.93671038705412,-1000.0,-524.2341063043468,-232.1152766651844,0.5529500842094421,0.10991021245718002,0.9990354776382446,0.007360499352216721,7.56747579574585,0.549694836139679,3.791685104370117,0.5654748678207397
1.0846643721524099,between_elites,-444.21125681553633,-796.9874378090244,522.0222647460296,-13.08018489404032,-26.241373614165827,-826.2324647248712,132.1377718248014,-554.7142274101661,0.5012256503105164,0.07567837834358215,1.0041649341583252,0.018329791724681854,9.563592910766602,0.9193577170372009,7.322010040283203,1.1049607992172241
1.0792897437272841,between_elites,203.13569354387835,-971.5744678011629,671.1169783403747,-68.43471613044292,117.16534421969945,-978.6743204992619,-11.992904515915967,-909.1034980667071,0.5167397260665894,0.08982618898153305,1.0061848163604736,0.00838611088693142,10.583086013793945,0.6722609996795654,6.1609344482421875,0.4603291153907776
1.068683027977843,local_gaussian,224.304467319115,-1000.0,718.2758153797143,-72.37312783742497,143.4837604856112,-1000.0,-165.72695203664074,-884.7206826423811,0.48104405403137207,0.08488371968269348,1.0020816326141357,0.008526661433279514,11.265728950500488,0.8719174861907959,5.473203182220459,0.4753430187702179
1.0674217768143095,local_gaussian,-839.3106438888581,-1000.0,807.2857082672255,28.521784793169957,95.84749363999104,-894.5392923167994,-96.03401640671939,-127.32443990231585,0.48553672432899475,0.08536116778850555,0.9999960660934448,0.012303854338824749,6.888509273529053,0.4046553671360016,3.123661994934082,0.38060614466667175
1.0620587619132702,local_gaussian,-837.9155205360153,-1000.0,672.0239465777031,17.58732823353219,-258.62266094297564,-982.9454047694452,-227.6673974762732,-800.02787801933,0.40282297134399414,0.134468212723732,0.9907737970352173,0.029407216235995293,5.313614845275879,1.162832498550415,2.8505611419677734,0.6283560991287231
1.0544431574178816,local_gaussian,-1000.0,-1000.0,527.5496227077592,66.64807984112717,-378.84063963264504,-1000.0,72.10085181458287,-245.80021213708147,0.684508204460144,0.2406238168478012,1.0303831100463867,0.031090116128325462,6.672337532043457,0.3900419771671295,3.3624954223632812,0.6399710178375244
1.0499158347954403,local_gaussian,-990.7717415089531,-731.5678348678098,1000.0,-212.04308925477474,-118.77987686474549,-1000.0,-4.682227945720427,-514.3285696736727,0.5067756772041321,0.07393644750118256,0.9998893737792969,0.012319980189204216,7.532467842102051,0.7241933941841125,4.253539085388184,0.3914293348789215
1.0482321827023622,local_gaussian,-882.311286612076,-1000.0,730.509474511772,-72.48755045634559,-58.419390944194134,-721.5557081809196,-127.81909715259167,-234.10510589085249,0.4660182595252991,0.08103868365287781,0.9882619976997375,0.01146668940782547,5.342497825622559,0.30822330713272095,2.347801685333252,0.38064879179000854
1.045419846158079,local_gaussian,-829.2591664314367,-263.24703165468486,881.2181638260001,-99.41501789873233,-30.184019659974297,-1000.0,-390.4711411298546,-288.7858572824819,0.4704221785068512,0.057929906994104385,0.9101767539978027,0.058731451630592346,10.190069198608398,1.7960249185562134,6.561373710632324,1.2422417402267456
1.044936166873947,local_gaussian,287.8749356797036,-1000.0,715.9889587675917,-59.60901232929257,159.9710579435476,-941.7319445535423,-68.84321647521777,-972.6778048378598,0.5196620225906372,0.0767560601234436,1.0043692588806152,0.003784067463129759,10.710049629211426,0.564802348613739,5.557378768920898,0.2463642805814743
1.0425902001152627,axis_scan,260.206,-1000.0,548.198,-88.3776,152.559,-952.224,-94.4797,-1000.0,0.49446433782577515,0.06669991463422775,1.0117433071136475,0.007349845487624407,11.081255912780762,0.7871401309967041,6.64392614364624,0.528873860836029
1.038216547976686,local_gaussian,222.33970290073705,-1000.0,143.94026417893087,-6.991874604564842,18.729048417649466,-953.6405164214277,35.543636295622164,-1000.0,0.41279444098472595,0.11191422492265701,1.0278831720352173,0.035910941660404205,9.283650398254395,0.6811287999153137,6.258391380310059,0.5529043674468994
1.0353791864653512,local_gaussian,-887.0301097234144,-610.2177796467556,658.4771588486975,-32.35155813328065,-7.533923615454945,-649.2468514385567,106.1007436367839,-95.45429354751181,0.5435097217559814,0.08266670256853104,0.96638023853302,0.03467560186982155,4.157473564147949,0.14369161427021027,1.543352723121643,0.1692872792482376
1.034351093937249,between_elites,259.8378269378287,-978.4380726911364,718.2366474108923,-45.63607881234146,135.56357226056238,-950.2507600076883,-88.86485058349608,-959.0057030631559,0.513899564743042,0.06929199397563934,1.001526117324829,0.007120723370462656,9.676397323608398,0.4977113902568817,5.164000511169434,0.2633223235607147
1.029870893120359,local_gaussian,241.17302943974371,-1000.0,741.8610196779639,-144.93414357363486,49.48098232172427,-972.2222991074676,-22.695030697028088,-1000.0,0.49419182538986206,0.061927564442157745,1.0097616910934448,0.007159840781241655,8.554397583007812,0.43106186389923096,6.054280757904053,0.4344977140426636
