i,source,case,rank,elapsed_seconds,V3,V6,V9,V10,V11,V12,V15,V18,active,theta_mean_deg,theta_sigma_deg,speed_count,speed_mean,speed_sigma,speed_rel_sigma,vperp_mean,vperp_sigma,vperp_rel_sigma,vz_mean,vz_sigma,vz_rel_sigma,est_vperp_mean_from_theta_mean,est_vz_mean_from_theta_mean,est_vperp_sigma_from_theta_sigma_sin,est_vperp_sigma_from_theta_sigma_linear,est_vz_sigma_delta_method,err_vperp_mean_est,err_vperp_sigma_est_sin,err_vperp_sigma_est_linear,err_vz_mean_est,err_vz_sigma_est
1,dt\data\inverse_validation.csv,inverse_validation,3,5.5,-886.1590576171875,-984.64892578125,986.0494384765625,0.90087890625,-32.74273681640625,-703.77734375,-186.54205322265625,-146.87554931640625,1.0,2.19784185,0.880064016,500,130.60771,0.0257338083,0.00019703131,5.00828839,2.00461928,0.400260354,130.496234,0.0784341941,0.000601045652,5.008827881894563,130.5116299595314,2.0060574628045638,2.006136346516037,0.07693566993335706,-0.0005394918945631488,-0.001438182804563759,-0.0015170665160368912,-0.015395959531417702,0.0014985241666429366
2,dt\data\inverse_sweep_dense_v1\summary.csv,t55,1,10.82800000000043,-858.6875610351562,-999.9828491210938,884.3880615234375,-86.1807861328125,-94.30426025390625,-756.1221923828125,-405.17498779296875,-263.71881103515625,0.522,4.80503274,1.72299156,261,130.623921,0.0571667527,0.000437643826,10.9369789,3.91183701,0.357670712,130.105977,0.35615837,0.00273744818,10.941761443469618,130.1648439246498,3.9275143006373034,3.928106316551955,0.32903929013352495,-0.004782543469618261,-0.015677290637303276,-0.0162693065519548,-0.058866924649805696,0.02711907986647505
3,dt\data\inverse_sweep_low_feed_v2\summary.csv,low40b,10,7.985000000000582,-594.249267578125,-761.2120971679688,939.3126220703125,-15.25860595703125,60.4659423828125,-486.8450927734375,-766.8348388671875,195.324462890625,0.28,5.35822854,3.99488275,140,130.60843,0.189711921,0.00145252432,12.1440997,8.87388856,0.730716052,129.726321,1.85862865,0.0143273056,12.196538372215096,130.0377116024424,9.099146884545547,9.106523524868845,0.8503897000258125,-0.05243867221509646,-0.22525832454554795,-0.23263496486884527,-0.31139060244240113,1.0082389499741875
4,dt\data\inverse_sweep_low_feed_v2\summary.csv,low30b,10,8.907000000000153,-872.1163330078125,-782.625732421875,371.2451171875,83.039306640625,246.80615234375,-431.87078857421875,180.7247314453125,-99.2618408203125,0.184,11.6439972,3.58738891,92,130.607119,0.175739521,0.00134555851,26.3096156,8.0012305,0.304118107,127.668751,1.65077751,0.0129301611,26.360444454206934,127.91929683068476,8.172198098505758,8.177540025625607,1.65047350610006,-0.05082885420693373,-0.17096759850575793,-0.17630952562560687,-0.2505458306847572,0.00030400389994000854
