score,sample_mode,V3,V6,V9,V10,V11,V12,V15,V18,pred_detector_contact_fraction,unc_detector_contact_fraction,pred_terminal_angle_theta_mean_deg,unc_terminal_angle_theta_mean_deg,pred_terminal_angle_theta_p95_deg,unc_terminal_angle_theta_p95_deg,pred_terminal_angle_theta_p99_deg,unc_terminal_angle_theta_p99_deg
1.7673490784916401,local_gaussian,-750.1778161550893,-680.2851116461192,1000.0,115.04078266399046,32.28871179924124,-488.03634992276,-313.53783280558264,253.3554002320695,0.6159074902534485,0.20132170617580414,11.583852767944336,2.3607726097106934,24.344032287597656,5.912273406982422,34.50349807739258,8.00920295715332
1.6594137597626892,local_gaussian,-1000.0,-1000.0,798.0177969857247,165.77981022730614,-4.9469589081743095,-584.6820159670799,-411.8079981771286,-257.85692282152945,0.5466195344924927,0.11670562624931335,7.671021938323975,1.1942535638809204,17.413330078125,3.0827996730804443,29.684127807617188,9.512758255004883
1.6339337995658734,local_gaussian,-548.5670863187662,-811.8977329064606,1000.0,-127.51350792189332,-227.75580606036166,-1000.0,-291.3372617527081,238.87005795153274,0.476661741733551,0.13314996659755707,25.434017181396484,10.214405059814453,107.80885314941406,43.61366271972656,111.13154602050781,43.4211540222168
1.6277011070764407,local_gaussian,276.0207553604747,-733.2314862313451,620.2223486041515,71.27990317502156,-15.404026453608509,-757.8244559054169,-139.25483404994094,-1000.0,0.5820645093917847,0.10589790344238281,22.918535232543945,7.480785369873047,75.35432434082031,23.52564239501953,85.06906127929688,23.816848754882812
1.6260323009025188,local_gaussian,-722.7275187782838,-585.5197186363421,852.9156516888856,-45.347955369713276,-71.26681379797463,-1000.0,109.91560147565849,-435.3761394226755,0.5598024129867554,0.09909569472074509,16.67403221130371,1.9330438375473022,49.993446350097656,15.398868560791016,61.367279052734375,10.783432960510254
1.6229082849061283,local_gaussian,-1000.0,-919.3239842063829,847.490954742762,157.74909757816408,243.407362674134,-473.8191737077406,196.64764879273457,-554.1838559990508,0.5533217191696167,0.0966525450348854,10.78708553314209,1.8719987869262695,24.097719192504883,6.0184855461120605,39.123512268066406,7.420619964599609
1.6172278313543782,between_elites,-572.2797953343169,-990.8028365589439,933.7525931064961,-61.96793239698064,41.064603570509526,-757.6251782312786,-56.36476327330814,-570.4170977632283,0.5803929567337036,0.09946242719888687,35.295310974121094,6.463962078094482,153.67604064941406,27.754318237304688,155.11631774902344,26.299997329711914
1.613806490937672,local_gaussian,-999.9042198385182,-659.1308295714953,332.88387593692266,81.80560555846866,-39.90523440635753,-750.2730903837468,-98.69237403868942,-162.0141160220139,0.5764981508255005,0.09826537221670151,10.38679313659668,1.0221716165542603,20.98651123046875,3.407414436340332,33.60451889038086,8.519989967346191
1.6126953314619703,local_gaussian,-1000.0,-1000.0,53.79543190371885,441.28950678463195,458.3656354685133,258.14721827957726,-503.81308021377106,-1000.0,0.5520979166030884,0.09089843183755875,15.569514274597168,3.944448947906494,37.43519973754883,15.532357215881348,57.96100997924805,18.347640991210938
1.6099356129974245,local_gaussian,-1000.0,-1000.0,1000.0,22.750652693153057,100.27034060753526,-638.8295452834604,845.5543647032497,-285.28429166452537,0.5471197366714478,0.08921675384044647,10.759645462036133,2.2582194805145264,40.098365783691406,12.55305004119873,44.032005310058594,12.4712495803833
1.6037885574795105,local_gaussian,-681.0570963507738,-1000.0,925.2277770345355,-155.29734596318747,85.7872244142316,-1000.0,-558.5143919375469,-85.02035316268956,0.4659321904182434,0.12654723227024078,10.594442367553711,2.6842968463897705,30.618724822998047,7.879543781280518,38.98810577392578,11.0853910446167
1.5917781891543643,local_gaussian,-597.5473582168602,-1000.0,296.9026275531569,-9.76920311177589,188.8122132591286,-667.0952639584511,-1000.0,-722.2318818445935,0.4363977015018463,0.1549004167318344,18.902172088623047,7.987910270690918,56.20014572143555,33.8027458190918,103.60581970214844,63.4171142578125
