loss,V3,V6,V9,V10,V11,V12,V15,V18,pred_detector_active_contact_fraction,pred_detector_active_forward_fraction,pred_detector_contact_angle_theta_mean_deg,pred_detector_contact_angle_theta_sigma_deg,unc_detector_active_contact_fraction,unc_detector_active_forward_fraction,unc_detector_contact_angle_theta_mean_deg,unc_detector_contact_angle_theta_sigma_deg
0.011368527077138424,-924.9117431640625,-440.1026611328125,-207.5157470703125,-64.74755859375,308.5272216796875,-661.3682861328125,-236.91766357421875,463.1068115234375,0.3477399945259094,1.0051430463790894,5.969118118286133,2.9898946285247803,0.08735840767621994,0.03622598573565483,0.015969784930348396,0.06484416872262955
0.011422015726566315,-921.0067138671875,-440.71539306640625,-208.80877685546875,-62.6868896484375,308.0994873046875,-657.54150390625,-232.614990234375,459.1605224609375,0.3472987711429596,1.005199909210205,5.966036796569824,2.9873061180114746,0.0869448110461235,0.03595954552292824,0.01691710762679577,0.06456451863050461
0.01298951730132103,-882.1820678710938,-446.586181640625,-201.88427734375,-51.468505859375,295.8873291015625,-641.88232421875,-208.18157958984375,440.1217041015625,0.34492185711860657,1.0062882900238037,5.960221290588379,2.977536916732788,0.07994237542152405,0.032968927174806595,0.05971285328269005,0.06752390414476395
0.013064454309642315,-882.5325927734375,-448.90374755859375,-207.7415771484375,-48.148193359375,298.635986328125,-634.3751220703125,-200.08026123046875,429.2490234375,0.34432491660118103,1.0062254667282104,5.953334808349609,2.9715068340301514,0.08172868192195892,0.032751381397247314,0.05226132273674011,0.06745186448097229
0.014694294892251492,-908.8269653320312,-885.8800048828125,-326.85760498046875,328.075927734375,414.6629638671875,-57.6876220703125,286.5706787109375,-270.23138427734375,0.3516565263271332,0.9831291437149048,6.006391525268555,3.0265538692474365,0.08741451054811478,0.017748843878507614,0.010582488030195236,0.13153399527072906
0.01692039705812931,-501.09088134765625,-969.8097534179688,926.5562744140625,-11.7301025390625,45.3575439453125,-507.6187744140625,-467.22943115234375,-123.98077392578125,0.3513904809951782,1.0004438161849976,6.012349605560303,2.9877536296844482,0.03802109509706497,0.003887973492965102,0.14252346754074097,0.12875701487064362
0.0175246000289917,-851.970947265625,-906.856689453125,-205.36566162109375,303.4027099609375,408.343994140625,-57.80609130859375,65.9112548828125,-105.56982421875,0.3512285053730011,0.9745296239852905,6.0215678215026855,2.990764617919922,0.08947351574897766,0.030115684494376183,0.06960144639015198,0.11130642145872116
0.019333936274051666,-894.6138916015625,-995.627197265625,916.5396728515625,-61.35211181640625,-116.1207275390625,-740.1616821289062,-261.99603271484375,-114.427734375,0.34894880652427673,1.0007624626159668,5.987235069274902,3.004603862762451,0.006722250021994114,0.010687462985515594,0.10806982219219208,0.20437058806419373
0.019600244238972664,-891.2505493164062,-999.96630859375,914.052490234375,-60.853271484375,-113.70977783203125,-737.4175415039062,-265.24267578125,-109.36138916015625,0.3492656648159027,1.0011837482452393,5.997199058532715,3.0074374675750732,0.005444192327558994,0.010545649565756321,0.11335532367229462,0.20850764214992523
0.02059328556060791,-978.2977294921875,-618.1234130859375,115.83740234375,245.3687744140625,179.6851806640625,-470.394287109375,-133.84417724609375,254.725341796875,0.350731760263443,0.9827414751052856,6.022820949554443,3.009324550628662,0.13572514057159424,0.021947460249066353,0.0015671763103455305,0.26464900374412537
