loss,V3,V6,V9,V10,V11,V12,V15,V18,pred_detector_active_contact_fraction,pred_detector_active_forward_fraction,pred_detector_contact_angle_theta_mean_deg,pred_detector_contact_angle_theta_sigma_deg,unc_detector_active_contact_fraction,unc_detector_active_forward_fraction,unc_detector_contact_angle_theta_mean_deg,unc_detector_contact_angle_theta_sigma_deg,pred_viability_prob,unc_viability_prob
0.008821197785437107,-731.6221313476562,-736.373291015625,855.5806884765625,-139.74322509765625,-145.96722412109375,-925.1641235351562,-187.0191650390625,-14.87481689453125,0.6995701193809509,1.0010476112365723,4.500995635986328,2.0023744106292725,0.017019018530845642,0.00603988952934742,0.000968106382060796,0.07515967637300491,0.9998353123664856,0.0002783934469334781
0.008946824818849564,-823.7678833007812,-976.4700317382812,825.4674072265625,-83.421875,-47.88671875,-750.0379638671875,-285.9561767578125,102.24560546875,0.6992383003234863,1.001250147819519,4.473527431488037,2.040748119354248,0.024802589789032936,0.003923842683434486,0.025742651894688606,0.011586001142859459,0.9979143738746643,0.003143634647130966
0.009104134514927864,-821.9310302734375,-980.5692138671875,804.0975341796875,-79.8492431640625,-43.57244873046875,-744.033203125,-294.43817138671875,80.0113525390625,0.6990028619766235,1.0014158487319946,4.472716808319092,2.039750576019287,0.02779589593410492,0.004196570720523596,0.039093345403671265,0.0018397803651168942,0.9972348213195801,0.004100903868675232
0.01019869651645422,-802.8056640625,-884.3797607421875,752.9007568359375,-12.080078125,30.5848388671875,-593.6530151367188,-303.942626953125,-100.76373291015625,0.6997828483581543,1.0008652210235596,4.4952850341796875,1.9998257160186768,0.016616245731711388,0.00373605964705348,0.08243322372436523,0.054878782480955124,0.9972443580627441,0.004183846525847912
0.011126345954835415,-809.934814453125,-992.0803833007812,872.9132080078125,-82.63836669921875,-48.825927734375,-744.929931640625,-255.57305908203125,124.4822998046875,0.7006224393844604,1.0012315511703491,4.480998992919922,2.024097204208374,0.021842190995812416,0.0028812873642891645,0.06612913310527802,0.035717129707336426,0.9985764026641846,0.002122147474437952
0.015188575722277164,-807.5509033203125,-999.9011840820312,914.1383056640625,-96.24481201171875,-61.93414306640625,-763.1255493164062,-139.9332275390625,-4.3909912109375,0.7005007863044739,1.000456690788269,4.489375114440918,1.9865163564682007,0.015240808948874474,0.005331899505108595,0.1854146122932434,0.02482703886926174,0.999155580997467,0.0012835650704801083
0.01539559941738844,-816.244384765625,-697.906005859375,511.7100830078125,62.3421630859375,-62.536865234375,-644.561279296875,-141.78570556640625,-437.6484375,0.6987643837928772,0.9953479766845703,4.461918830871582,2.0056676864624023,0.168105348944664,0.005058711394667625,0.020631037652492523,0.12045271694660187,0.8570215106010437,0.061366643756628036
0.01627114973962307,-713.049072265625,-836.7794799804688,674.95556640625,284.3094482421875,183.752197265625,-248.1917724609375,-116.16265869140625,-589.49755859375,0.7006915211677551,0.9909607172012329,4.52433967590332,2.009141683578491,0.1149735376238823,0.02359103038907051,0.0025347385089844465,0.18624314665794373,0.9304947257041931,0.08649615943431854
0.017558671534061432,-622.2874755859375,-808.4384155273438,984.5438232421875,111.9183349609375,96.3668212890625,-422.50421142578125,-869.0955200195312,-454.84796142578125,0.7016593217849731,0.9985041618347168,4.5140838623046875,2.010767698287964,0.02543705515563488,0.004433239344507456,0.028174737468361855,0.24443478882312775,0.9861266016960144,0.023708363994956017
0.018354186788201332,-794.318115234375,-633.262451171875,967.61083984375,166.300537109375,275.162841796875,-343.5399169921875,-373.0948486328125,-121.906982421875,0.6969242691993713,1.0068607330322266,4.427155494689941,2.0469253063201904,0.055140744894742966,0.0086181266233325,0.06380022317171097,0.19024527072906494,0.9811551570892334,0.018184004351496696
