------ Begin Next Fly'm ------


"Begin Fly'm (Mon Jun 17 14:40:40 2024)"
"Ions Flown Separately, Comp Quality(3)"
"Number of Ions to Fly = 500"
"Changes:","Mass","Charge","X","Y","Z","KE","Azm","Elv","Time of Birth"
" ","NO ","NO ","YES","YES","YES","NO ","NO ","NO ","NO "


"Ion N","Events","TOF","Mass","Charge","X","Y","Z","Vt","Azm","Elv","KE Error"

1,1,0,44,1,79.7067,76.2681,87.1126,0,0,0,0
------ Begin Next Fly'm ------


"Begin Fly'm (Mon Jun 17 14:41:08 2024)"
"Ions Flown Separately, Comp Quality(3)"
"Number of Ions to Fly = 500"
"Changes:","Mass","Charge","X","Y","Z","KE","Azm","Elv","Time of Birth"
" ","NO ","NO ","YES","YES","YES","NO ","NO ","NO ","NO "


"Ion N","Events","TOF","Mass","Charge","X","Y","Z","Vt","Azm","Elv","KE Error"

32,16,296582,44,1,75.6789,75.8897,7.24313e-007,0.000331875,92.4258,-0.161976,2.72646e-011
33,1,0,44,1,79.6363,75.5597,86.3897,0,0,0,0
33,16,312589,44,1,78.8016,71.2446,8.74088e-007,0.000311869,90.5546,-2.97347,7.64916e-012
34,1,0,44,1,80.207,77.9632,90.547,0,0,0,0
34,16,254429,44,1,83.4554,91.5812,8.85446e-007,0.000402847,87.8463,8.87262,1.11438e-011
35,1,0,44,1,79.8293,76.5447,89.4251,0,0,0,0
35,16,265857,44,1,80.2423,79.355,1.23533e-006,0.000377881,89.7053,1.87227,2.54888e-011
36,1,0,44,1,79.3705,74.7199,88.6466,0,0,0,0
36,16,279937,44,1,76.4026,64.0116,1.64597e-006,0.000358185,91.9741,-7.15176,1.73636e-011
37,1,0,44,1,78.0563,76.194,90.0168,0,0,0,0
37,16,261218,44,1,64.9832,76.4075,6.14322e-007,0.000389921,98.5661,0.140863,4.23909e-011
38,1,0,44,1,80.1222,76.0649,90.7353,0,0,0,0
38,16,247953,44,1,82.7007,75.2935,6.25816e-007,0.000410458,88.2904,-0.503457,2.61921e-011
39,1,0,44,1,78.6828,76.1559,89.572,0,0,0,0
39,16,265175,44,1,70.4767,76.087,1.45405e-006,0.000380529,95.4208,-0.0440532,2.5159e-011
40,1,0,44,1,79.8975,77.2089,86.6041,0,0,0,0
40,16,310039,44,1,80.9457,84.7228,1.8015e-006,0.000315749,89.2567,5.15957,1.78436e-011
41,1,0,44,1,78.6045,76.9431,88.6591,0,0,0,0
41,16,279385,44,1,69.9175,82.6952,8.7639e-007,0.00035867,95.7977,3.83995,1.18107e-011
42,1,0,44,1,79.1309,76.4129,89.4925,0,0,0,0
42,16,265371,44,1,74.3214,78.2544,2.94267e-007,0.000379174,93.178,1.22466,2.2998e-011
43,1,0,44,1,77.6716,76.9407,90.2589,0,0,0,0
43,16,260542,44,1,61.486,82.8369,1.66976e-006,0.000394217,100.54,3.81773,2.02196e-011
44,1,0,44,1,81.1047,75.772,90.1334,0,0,0,0
44,16,258199,44,1,91.1301,72.7954,1.27743e-006,0.000393708,83.3885,-1.95025,2.26126e-011
45,1,0,44,1,80.0532,74.922,87.8754,0,0,0,0
45,16,290591,44,1,82.1981,65.8455,1.83146e-006,0.00034171,88.5246,-6.12767,1.59608e-011
46,1,0,44,1,80.9995,75.7365,89.5044,0,0,0,0
46,16,266672,44,1,90.1896,72.5258,9.23197e-007,0.00037858,83.8891,-2.121,1.12301e-011
47,1,0,44,1,81.1232,77.5682,87.5911,0,0,0,0
47,16,298099,44,1,91.189,87.8663,6.07651e-007,0.000334155,83.1635,6.9231,1.24808e-011
48,1,0,44,1,80.4436,76.6436,89.2118,0,0,0,0
48,16,269546,44,1,85.4445,80.1779,1.24864e-006,0.000372443,86.6453,2.35569,2.81841e-011
49,1,0,44,1,81.254,76.1729,89.0551,0,0,0,0
49,16,273738,44,1,92.331,76.222,3.9835e-007,0.00036768,82.6134,0.0342617,4.20592e-011
50,1,0,44,1,80.5373,77.8008,89.105,0,0,0,0
50,16,274397,44,1,86.2818,89.9707,1.29993e-006,0.000368035,86.1461,8.06203,3.64062e-011
51,1,0,44,1,80.953,76.2327,86.5342,0,0,0,0
51,16,311664,44,1,89.6417,76.7355,6.50732e-007,0.000314134,84.0131,0.346286,1.05711e-011
52,1,0,44,1,78.7994,78.2988,89.4864,0,0,0,0
52,4,266171,44,1,71.5559,94,2.13138,0.000375143,94.9108,10.5506,2.21009e-011
53,1,0,44,1,80.0638,77.1157,86.4321,0,0,0,0
53,16,312701,44,1,82.3205,83.939,1.02696e-006,0.000312388,88.4215,4.69639,8.55895e-012
54,1,0,44,1,80.613,75.1889,87.6005,0,0,0,0
54,16,294905,44,1,86.876,68.0842,1.18378e-006,0.000335834,85.7254,-4.80712,2.13313e-011
55,1,0,44,1,80.9635,75.6269,87.7162,0,0,0,0
55,16,293210,44,1,89.797,71.7005,4.88115e-007,0.000338217,83.9991,-2.64937,6.87213e-012
56,1,0,44,1,80.1375,78.1218,86.0586,0,0,0,0
56,16,323441,44,1,82.9762,92.2091,1.26375e-006,0.000303271,88.0117,9.66354,1.91967e-011
57,1,0,44,1,80.1677,74.7012,86.6339,0,0,0,0
57,16,311395,44,1,83.1933,64.1304,1.52757e-006,0.000315496,87.8963,-7.22971,8.5111e-012
58,1,0,44,1,81.0337,77.73,86.1289,0,0,0,0
58,16,322368,44,1,90.3668,89.0177,1.48054e-006,0.000304603,83.5437,7.71931,1.70145e-011
59,1,0,44,1,77.9282,76.9722,87.8989,0,0,0,0
59,16,293734,44,1,64.2721,82.9211,6.44336e-007,0.000340458,99.1621,3.97603,1.50522e-011
60,1,0,44,1,78.8421,74.8434,89.7385,0,0,0,0
60,16,264670,44,1,71.7756,64.9082,9.55698e-007,0.00038338,94.6608,-6.53984,1.14055e-011
61,1,0,44,1,78.0365,77.7468,90.5201,0,0,0,0
61,4,242152,44,1,65.5077,89,6.04128,0.00040036,98.7658,7.80807,2.24763e-011
62,1,0,44,1,80.7886,77.9828,89.9123,0,0,0,0
62,16,264214,44,1,88.4647,91.6769,1.25393e-006,0.00038643,84.911,8.95758,3.07365e-011
63,1,0,44,1,80.0903,76.2862,88.2279,0,0,0,0
63,16,283234,44,1,82.4808,77.1799,1.80267e-006,0.000350417,88.3654,0.605119,1.27524e-011
64,1,0,44,1,78.3212,77.3709,89.6923,0,0,0,0
64,16,266548,44,1,67.2875,86.4432,6.38333e-007,0.000381538,97.268,5.95243,2.25171e-011
65,1,0,44,1,81.3401,75.7734,90.5334,0,0,0,0
65,16,253636,44,1,93.2218,72.7714,1.64056e-006,0.000403178,82.2183,-1.95272,2.1952e-011
66,1,0,44,1,81.2834,76.3605,89.8731,0,0,0,0
66,16,262306,44,1,92.6516,77.8103,5.7224e-007,0.000386965,82.4934,0.953764,2.42396e-011
67,1,0,44,1,78.9054,77.7334,87.1141,0,0,0,0
