------ Begin Next Fly'm ------


"Begin Fly'm (Mon Jun 17 14:40:40 2024)"
"Ions Flown Separately, Comp Quality(3)"
"Number of Ions to Fly = 500"
"Changes:","Mass","Charge","X","Y","Z","KE","Azm","Elv","Time of Birth"
" ","NO ","NO ","YES","YES","YES","NO ","NO ","NO ","NO "


"Ion N","Events","TOF","Mass","Charge","X","Y","Z","Vt","Azm","Elv","KE Error"

1,1,0,44,1,79.7067,76.2681,87.1126,0,0,0,0
------ Begin Next Fly'm ------


"Begin Fly'm (Mon Jun 17 14:41:08 2024)"
"Ions Flown Separately, Comp Quality(3)"
"Number of Ions to Fly = 500"
"Changes:","Mass","Charge","X","Y","Z","KE","Azm","Elv","Time of Birth"
" ","NO ","NO ","YES","YES","YES","NO ","NO ","NO ","NO "


"Ion N","Events","TOF","Mass","Charge","X","Y","Z","Vt","Azm","Elv","KE Error"

373,16,284031,44,1,81.393,87.1403,4.96577e-007,0.00035132,89.0123,6.48816,2.1007e-011
374,1,0,44,1,80.1873,76.9709,86.7669,0,0,0,0
374,16,307031,44,1,83.3296,82.7785,1.3553e-006,0.000319125,87.8202,3.98273,5.92376e-012
375,1,0,44,1,79.9845,78.0194,88.463,0,0,0,0
375,16,284174,44,1,81.6089,91.7359,1.7296e-006,0.000353309,88.8855,9.15548,1.2838e-011
376,1,0,44,1,80.1322,78.0234,86.6961,0,0,0,0
376,16,312246,44,1,82.9112,91.5049,1.67932e-006,0.000315923,88.068,9.18567,9.52108e-013
377,1,0,44,1,79.3932,76.6251,90.7851,0,0,0,0
377,16,247661,44,1,76.4379,80.0805,7.04559e-007,0.000411442,91.9181,2.26399,3.07893e-011
378,1,0,44,1,78.9559,74.9907,88.1192,0,0,0,0
378,16,287482,44,1,72.9661,66.3781,1.80546e-006,0.000346669,94.0246,-5.78803,1.16118e-011
379,1,0,44,1,80.7717,76.5005,87.0689,0,0,0,0
379,16,302549,44,1,88.1515,78.9371,3.38371e-007,0.000325106,84.939,1.66289,2.96427e-011
380,1,0,44,1,79.4649,78.3235,86.7054,0,0,0,0
380,16,313899,44,1,77.3526,94.0535,5.98471e-007,0.000315326,91.4307,10.6854,8.97856e-012
381,1,0,44,1,77.5417,76.2038,88.625,0,0,0,0
381,16,284107,44,1,60.7212,76.4903,1.75021e-006,0.000355647,101.148,0.189998,1.42617e-011
382,1,0,44,1,78.7063,75.9259,87.0689,0,0,0,0
382,16,302687,44,1,71.0371,74.2079,6.36769e-007,0.00032502,95.2165,-1.16946,2.753e-011
383,1,0,44,1,80.9803,76.0735,87.1817,0,0,0,0
383,16,301146,44,1,89.8863,75.4219,4.7447e-007,0.000327295,83.9121,-0.441297,2.31588e-011
384,1,0,44,1,79.3985,74.671,86.1775,0,0,0,0
384,16,319012,44,1,76.8505,63.9565,2.48918e-007,0.000306544,91.7415,-7.36884,1.88623e-011
385,1,0,44,1,78.3662,74.9125,86.0932,0,0,0,0
385,16,322232,44,1,68.2969,65.9004,1.80028e-006,0.000304188,96.9228,-6.17265,2.08137e-011
386,1,0,44,1,79.9433,75.2796,86.1573,0,0,0,0
386,16,316889,44,1,81.3352,68.9844,3.39419e-007,0.000307231,89.0145,-4.34649,2.74532e-011
387,1,0,44,1,80.6201,77.4876,90.0182,0,0,0,0
387,16,260428,44,1,86.9832,87.4099,1.19661e-006,0.000390469,85.7799,6.51622,5.10542e-011
388,1,0,44,1,79.4642,78.3462,86.3034,0,0,0,0
388,16,320707,44,1,77.3854,94.1497,8.25658e-007,0.000307403,91.4145,10.7857,1.08825e-011
389,1,0,44,1,77.6718,76.706,89.2934,0,0,0,0
389,16,273793,44,1,61.7258,80.7663,1.69207e-006,0.000371202,100.5,2.66135,2.85497e-011
390,1,0,44,1,79.9136,77.0688,89.0392,0,0,0,0
390,16,272172,44,1,80.9716,83.739,9.71117e-007,0.000368361,89.2721,4.45353,4.49841e-011
391,1,0,44,1,78.9526,75.6306,86.1277,0,0,0,0
391,16,317722,44,1,73.2079,71.8288,9.09946e-007,0.000306445,93.951,-2.62243,1.36505e-011
392,1,0,44,1,78.5989,75.4731,88.5704,0,0,0,0
392,16,280580,44,1,69.8778,70.3593,4.62679e-007,0.000356731,95.8269,-3.41557,1.70233e-011
393,1,0,44,1,78.9731,74.5917,89.0779,0,0,0,0
393,16,274713,44,1,72.9702,62.8458,7.94649e-007,0.000367426,93.9892,-7.78449,2.92743e-011
394,1,0,44,1,80.044,74.8372,86.6352,0,0,0,0
394,16,310634,44,1,82.1605,65.2721,1.4709e-006,0.000315861,88.5216,-6.55003,6.87119e-012
395,1,0,44,1,81.2256,76.7105,90.1572,0,0,0,0
395,16,258417,44,1,92.1703,80.7913,1.51771e-007,0.000393982,82.7929,2.67281,3.65362e-011
396,1,0,44,1,80.4519,77.3986,88.7103,0,0,0,0
396,16,278603,44,1,85.5429,86.525,1.38146e-006,0.000359846,86.5654,6.09412,1.27533e-011
397,1,0,44,1,81.2567,75.6241,86.1482,0,0,0,0
397,16,319760,44,1,92.1587,71.7503,2.09895e-007,0.000305888,82.4741,-2.65547,1.70666e-011
398,1,0,44,1,80.9942,77.7137,89.346,0,0,0,0
398,16,271696,44,1,90.1859,89.2894,7.85799e-008,0.000373218,83.8772,7.62602,1.52296e-011
399,1,0,44,1,78.3836,77.1837,89.0226,0,0,0,0
399,16,275369,44,1,67.9626,84.7672,2.84332e-007,0.00036623,96.9201,5.0242,4.47218e-011
400,1,0,44,1,81.2616,77.3371,87.4577,0,0,0,0
400,16,299943,44,1,92.3325,85.9259,1.05092e-006,0.000331478,82.4788,5.78341,1.72421e-011
401,1,0,44,1,81.2086,76.1646,86.181,0,0,0,0
401,16,318495,44,1,91.7404,76.1782,1.85295e-006,0.000306834,82.7295,0.0108723,1.83663e-011
402,1,0,44,1,77.8378,77.5846,87.3118,0,0,0,0
402,4,297295,44,1,64,87.7041,2.62725,0.000326945,99.6426,6.99655,1.55537e-011
403,1,0,44,1,79.8669,78.0947,89.8888,0,0,0,0
403,16,263814,44,1,80.546,92.6104,1.08461e-007,0.000386313,89.5304,9.52392,3.46763e-011
404,1,0,44,1,79.5594,75.2595,87.4776,0,0,0,0
404,16,295770,44,1,78.0899,68.7012,1.09955e-006,0.000333706,90.9804,-4.45665,1.78802e-011
405,1,0,44,1,78.7615,75.5771,87.9292,0,0,0,0
405,16,289529,44,1,71.3676,71.2825,4.11513e-007,0.000342957,94.9791,-2.895,2.65174e-011
406,1,0,44,1,80.5267,74.7909,89.643,0,0,0,0
406,16,265735,44,1,86.2134,64.477,1.44599e-006,0.000381281,86.208,-6.80165,1.48887e-011
407,1,0,44,1,78.7907,77.3361,90.4446,0,0,0,0
407,16,254612,44,1,71.2482,86.1836,1.10365e-006,0.00040105,94.9334,5.78113,2.24348e-011
408,1,0,44,1,78.7383,77.9765,89.099,0,0,0,0
408,16,276037,44,1,70.938,91.5154,9.75514e-008,0.000366982,95.1808,8.93885,2.49261e-011
409,1,0,44,1,78.4762,78.1824,90.8514,0,0,0,0
409,4,243868,44,1,68.7787,93,3.79194,0.000408596,96.5925,9.97434,2.92371e-011
410,1,0,44,1,79.6116,75.7095,89.4538,0,0,0,0
410,16,265649,44,1,78.4005,72.3264,5.58064e-007,0.000378377,90.7868,-2.24849,1.3048e-011
411,1,0,44,1,78.1182,77.1926,87.8297,0,0,0,0
411,16,294446,44,1,65.9045,84.7578,2.22428e-007,0.000339149,98.2124,5.06765,1.69982e-011
412,1,0,44,1,78.09,77.7804,86.1697,0,0,0,0
412,16,323843,44,1,65.9493,89.4762,1.4327e-006,0.00030449,98.3252,7.95857,1.75485e-011
413,1,0,44,1,80.0848,75.8387,89.3148,0,0,0,0
413,16,267475,44,1,82.4099,73.4212,9.81118e-007,0.00037521,88.4302,-1.60876,1.38461e-011
414,1,0,44,1,78.9208,77.4792,88.4407,0,0,0,0
414,16,283245,44,1,72.6235,87.1838,1.19874e-006,0.00035344,94.2146,6.49131,1.26187e-011
415,1,0,44,1,78.6249,78.052,86.8808,0,0,0,0
415,16,311171,44,1,70.2927,91.8237,1.09289e-006,0.00031876,95.6787,9.31989,1.65828e-011
416,1,0,44,1,78.9423,75.8326,89.9732,0,0,0,0
416,16,259099,44,1,72.6578,73.3419,5.99301e-007,0.000390559,94.1333,-1.64143,3.33611e-011
417,1,0,44,1,81.1995,76.0582,86.7578,0,0,0,0
417,16,308929,44,1,91.7171,75.2975,1.40577e-006,0.000318232,82.7895,-0.517011,1.8079e-011
418,1,0,44,1,80.7987,76.0571,86.5986,0,0,0,0
418,16,310026,44,1,88.3639,75.2966,2.06883e-007,0.000315724,84.7839,-0.519548,2.26957e-011
419,1,0,44,1,81.3716,76.4114,87.8781,0,0,0,0
419,16,292001,44,1,93.2499,78.2237,1.16635e-006,0.000341035,81.9782,1.21804,1.97411e-011
420,1,0,44,1,79.7398,75.1006,86.7169,0,0,0,0
420,16,308298,44,1,79.6341,67.4504,1.21177e-006,0.000317917,90.0511,-5.24305,9.6769e-012
421,1,0,44,1,79.9658,76.7951,90.9246,0,0,0,0
421,16,245764,44,1,81.3464,81.5258,1.7328e-006,0.000415193,89.0776,3.09423,6.09016e-011
422,1,0,44,1,79.2679,76.8526,90.0265,0,0,0,0
422,16,258195,44,1,75.4338,81.9805,1.17983e-007,0.000392046,92.515,3.38488,5.94068e-011
423,1,0,44,1,81.3536,76.9241,87.8252,0,0,0,0
423,16,293390,44,1,93.1076,82.4951,1.0008e-006,0.00033965,82.0563,3.7395,1.97198e-011
424,1,0,44,1,80.2608,77.1505,86.0166,0,0,0,0
424,16,319989,44,1,83.9502,84.1916,1.67006e-006,0.000304146,87.4214,4.86692,2.45549e-011
425,1,0,44,1,80.656,76.5598,90.5407,0,0,0,0
425,16,251504,44,1,87.28,79.5123,2.68669e-007,0.00040476,85.635,1.93629,3.04152e-011
426,1,0,44,1,78.1231,76.6063,90.8286,0,0,0,0
426,16,250222,44,1,65.3897,79.9558,1.69759e-006,0.000410369,98.2694,2.17154,3.13648e-011
427,1,0,44,1,79.2979,74.8917,86.6348,0,0,0,0
427,16,310675,44,1,75.9788,65.7181,3.54811e-007,0.000315831,92.2622,-6.28128,1.23319e-011
428,1,0,44,1,78.8374,77.0964,87.7754,0,0,0,0
428,16,292384,44,1,72.0248,83.9018,1.47039e-006,0.000339407,94.5956,4.59649,8.79471e-012
429,1,0,44,1,78.362,74.9249,87.4199,0,0,0,0
429,16,300482,44,1,68.0234,65.8481,3.84748e-007,0.000330698,96.9959,-6.11817,1.43659e-011
430,1,0,44,1,78.6827,77.2766,88.7638,0,0,0,0
430,16,278491,44,1,70.5498,85.5233,3.3663e-007,0.000360665,95.4221,5.49244,1.58707e-011
431,1,0,44,1,78.8033,75.5818,86.2496,0,0,0,0
431,16,316205,44,1,71.9522,71.4178,1.63874e-006,0.000308588,94.7061,-2.86501,1.11866e-011
432,1,0,44,1,80.928,75.8803,87.7356,0,0,0,0
432,16,292468,44,1,89.4875,73.8097,2.42477e-009,0.000338859,84.1848,-1.39722,9.13164e-012
433,1,0,44,1,79.1354,76.489,89.4111,0,0,0,0
433,16,266551,44,1,74.3686,78.8923,1.80704e-006,0.000377228,93.1526,1.59918,2.00593e-011
434,1,0,44,1,79.7036,77.5982,90.6286,0,0,0,0
434,16,251747,44,1,79.1023,88.4253,1.42482e-006,0.000405984,90.3756,7.07357,1.72807e-011
435,1,0,44,1,80.2619,76.2201,88.0461,0,0,0,0
435,16,286150,44,1,83.92,76.6313,6.28093e-007,0.000346333,87.5051,0.279869,3.06375e-011
436,1,0,44,1,79.2874,77.0958,89.7571,0,0,0,0
436,16,262427,44,1,75.6161,84.0342,1.74293e-006,0.000385091,92.4147,4.58938,2.09279e-011
437,1,0,44,1,78.1306,76.8269,87.1266,0,0,0,0
437,16,304545,44,1,66.1814,81.6425,1.75092e-006,0.000324949,98.1029,3.25967,2.87516e-011
438,1,0,44,1,79.2477,77.7934,90.5894,0,0,0,0
438,16,253292,44,1,75.1679,90.1228,8.81397e-007,0.000404337,92.6596,8.03765,3.30536e-011
439,1,0,44,1,80.0481,74.923,90.4787,0,0,0,0
439,16,253170,44,1,82.0927,65.5325,9.07751e-007,0.000402608,88.636,-6.14947,1.63133e-011
440,1,0,44,1,79.2244,76.8316,87.2848,0,0,0,0
440,16,298536,44,1,75.3337,81.6548,6.48595e-007,0.000329851,92.6345,3.28806,2.70062e-011
441,1,0,44,1,79.4903,76.0551,90.2151,0,0,0,0
441,16,254854,44,1,77.3216,75.2274,1.9035e-006,0.000397255,91.412,-0.544038,3.10187e-011
442,1,0,44,1,79.0489,77.1052,88.1987,0,0,0,0
442,16,285398,44,1,73.7612,83.9957,1.25833e-006,0.000348878,93.5477,4.63661,1.36307e-011
443,1,0,44,1,79.6292,77.3509,88.3733,0,0,0,0
443,16,282877,44,1,78.6131,86.0698,9.37932e-007,0.000352648,90.6644,5.85733,1.14702e-011
444,1,0,44,1,80.385,77.5344,90.2856,0,0,0,0
444,16,256532,44,1,84.9744,87.8319,1.00544e-006,0.000397228,86.9576,6.74842,2.01076e-011
445,1,0,44,1,79.7136,75.2227,89.8858,0,0,0,0
445,16,260380,44,1,79.2443,68.1779,1.20456e-006,0.000388378,90.2917,-4.65356,3.39686e-011
446,1,0,44,1,79.7412,75.9749,88.0197,0,0,0,0
446,16,286222,44,1,79.5742,74.6014,1.53124e-006,0.000345954,90.0925,-0.927774,3.50631e-011
447,1,0,44,1,79.5306,75.846,87.8833,0,0,0,0
447,16,288550,44,1,77.8257,73.5347,1.58807e-006,0.000342816,91.1354,-1.56453,1.62778e-011
448,1,0,44,1,79.2692,76.6241,89.8682,0,0,0,0
448,16,260089,44,1,75.4609,80.0416,1.7163e-006,0.000388321,92.5025,2.26202,4.17092e-011
449,1,0,44,1,80.0142,76.2704,89.0947,0,0,0,0
449,16,270431,44,1,81.8164,77.049,4.64015e-007,0.000370165,88.7754,0.522232,3.0198e-011
450,1,0,44,1,80.2776,77.5018,88.8791,0,0,0,0
450,16,276175,44,1,84.066,87.403,1.53551e-006,0.000363658,87.4425,6.59942,2.47841e-011
451,1,0,44,1,79.2415,74.9163,87.8052,0,0,0,0
451,16,292005,44,1,75.4016,65.7946,1.76048e-006,0.000340032,92.5845,-6.15881,1.93357e-011
452,1,0,44,1,79.2121,74.7271,89.9361,0,0,0,0
452,16,261554,44,1,74.9419,63.9052,7.35368e-007,0.000388444,92.8066,-7.11627,4.6264e-011
453,1,0,44,1,80.2777,74.6843,86.9212,0,0,0,0
453,16,306912,44,1,84.1042,63.9526,3.47128e-007,0.000321174,87.3551,-7.3111,2.52717e-011
454,1,0,44,1,80.4803,75.0864,86.3609,0,0,0,0
454,16,314885,44,1,85.7636,67.3614,1.37498e-006,0.000310574,86.3345,-5.30647,1.05446e-011
455,1,0,44,1,78.7361,75.734,87.5107,0,0,0,0
455,16,295862,44,1,71.2146,72.6062,1.47394e-006,0.00033409,95.0897,-2.119,1.57992e-011
456,1,0,44,1,78.9734,76.8801,87.9633,0,0,0,0
456,16,288606,44,1,73.1592,82.1023,9.03195e-007,0.000343933,93.9128,3.52608,2.93696e-011
457,1,0,44,1,80.2053,75.0867,87.6228,0,0,0,0
457,16,294146,44,1,83.4729,67.2463,8.26588e-007,0.000336474,87.7572,-5.31155,9.90054e-012
458,1,0,44,1,80.75,77.2153,88.6046,0,0,0,0
458,16,280213,44,1,88.0481,84.9729,1.75209e-006,0.000357452,85.0853,5.18281,1.91188e-011
459,1,0,44,1,78.7648,77.3839,86.5785,0,0,0,0
459,16,312622,44,1,71.562,86.194,5.66622e-007,0.000314253,94.9276,6.02309,1.23588e-011
460,1,0,44,1,80.5537,75.823,86.5782,0,0,0,0
460,16,309985,44,1,86.3485,73.3819,8.59557e-007,0.000315414,85.9939,-1.67465,1.13128e-011
461,1,0,44,1,78.1967,76.2618,87.7679,0,0,0,0
461,16,293589,44,1,66.6221,76.9763,4.32656e-007,0.000338711,97.7926,0.482095,1.56076e-011
462,1,0,44,1,79.1197,78.2162,87.569,0,0,0,0
462,16,299641,44,1,74.3753,93.2924,1.34681e-007,0.000333105,93.2051,10.136,1.70663e-011
463,1,0,44,1,80.1556,77.7998,86.1482,0,0,0,0
463,16,320154,44,1,83.1065,89.5356,1.39474e-006,0.000305714,87.9361,8.06572,1.79907e-011
464,1,0,44,1,78.4748,77.2418,86.9322,0,0,0,0
464,16,307333,44,1,69.0871,85.0615,1.51224e-006,0.000321123,96.3914,5.31463,2.72936e-011
465,1,0,44,1,80.5094,77.3829,90.1516,0,0,0,0
465,16,258071,44,1,86.0334,86.5203,7.96296e-007,0.000394088,86.3379,5.99978,2.94003e-011
466,1,0,44,1,79.2475,77.2254,88.0856,0,0,0,0
466,16,287105,44,1,75.4383,84.9894,2.73303e-007,0.00034641,92.5547,5.2327,3.44553e-011
467,1,0,44,1,78.1748,76.2787,86.2512,0,0,0,0
467,16,318113,44,1,66.7363,77.1043,1.52381e-006,0.000307814,97.8408,0.567214,1.27204e-011
468,1,0,44,1,79.8013,76.0885,87.9938,0,0,0,0
468,16,286530,44,1,80.0769,75.543,1.539e-006,0.000345477,89.7928,-0.367537,4.96909e-011
469,1,0,44,1,79.3831,77.0937,87.0233,0,0,0,0
469,16,303148,44,1,76.6686,83.8016,1.34059e-006,0.000324213,91.8377,4.58414,3.22622e-011
470,1,0,44,1,81.3879,77.1479,89.2449,0,0,0,0
470,16,272786,44,1,93.5267,84.4784,6.8345e-007,0.000371054,81.9345,4.8328,1.98402e-011
471,1,0,44,1,81.2783,75.8182,90.4058,0,0,0,0
471,16,255067,44,1,92.6637,73.1673,2.32703e-007,0.000400146,82.5277,-1.72808,1.81482e-011
472,1,0,44,1,79.343,76.7672,87.586,0,0,0,0
472,16,293594,44,1,76.2876,81.142,3.0343e-007,0.00033627,92.0574,2.97358,2.51581e-011
473,1,0,44,1,79.7596,74.8291,86.49,0,0,0,0
473,16,312969,44,1,79.8115,65.226,1.89266e-007,0.00031299,89.9424,-6.58945,1.44521e-011
474,1,0,44,1,80.0261,76.2945,87.1229,0,0,0,0
474,16,300201,44,1,81.9762,77.2416,4.65907e-007,0.000326894,88.6445,0.649716,1.99703e-011
475,1,0,44,1,78.1593,77.3674,90.3231,0,0,0,0
475,16,258400,44,1,65.7608,86.493,1.47124e-006,0.000396611,98.1002,5.93242,2.25368e-011
476,1,0,44,1,80.0063,76.9592,90.9773,0,0,0,0
476,16,245370,44,1,81.6928,82.9319,1.6517e-006,0.000416332,88.878,3.90135,5.04261e-011
477,1,0,44,1,80.3853,76.418,90.7642,0,0,0,0
477,16,248029,44,1,84.9629,78.3078,1.44147e-007,0.000410795,86.9825,1.23911,1.16993e-011
478,1,0,44,1,80.4426,75.5155,87.6967,0,0,0,0
478,16,292383,44,1,85.4442,70.7937,1.07054e-006,0.00033835,86.584,-3.19762,9.98531e-012
479,1,0,44,1,80.6299,77.5145,87.6601,0,0,0,0
479,16,295259,44,1,87.0293,87.3873,1.15159e-006,0.000336457,85.637,6.66243,1.60232e-011
480,1,0,44,1,80.3056,76.7528,88.0827,0,0,0,0
480,16,286087,44,1,84.2882,81.0455,1.17079e-006,0.000346902,87.2871,2.89971,3.3864e-011
481,1,0,44,1,79.7891,78.1639,89.6592,0,0,0,0
481,16,267449,44,1,79.8902,93.1851,2.95694e-007,0.00038048,89.9128,9.87497,1.55753e-011
482,1,0,44,1,79.1479,76.2352,88.6795,0,0,0,0
482,16,276969,44,1,74.5459,76.7572,1.78731e-006,0.000360301,93.0687,0.351835,1.64391e-011
483,1,0,44,1,79.6446,76.0512,89.4283,0,0,0,0
483,16,265647,44,1,78.6813,75.2075,9.31908e-008,0.000378065,90.6219,-0.559778,2.52185e-011
484,1,0,44,1,79.296,75.0388,86.9549,0,0,0,0
484,16,304903,44,1,75.9406,66.9158,1.72853e-006,0.000322536,92.2785,-5.54546,3.1879e-011
485,1,0,44,1,80.8439,76.7679,90.2969,0,0,0,0
485,16,255394,44,1,88.8798,81.2755,1.27732e-006,0.00039821,84.6984,2.95779,3.27901e-011
486,1,0,44,1,78.6652,77.8154,87.7028,0,0,0,0
486,16,296616,44,1,70.5307,89.94,1.6582e-006,0.000336354,95.4908,8.14532,1.56372e-011
487,1,0,44,1,80.1574,77.9214,88.0505,0,0,0,0
487,16,290121,44,1,83.0794,90.8313,1.88576e-007,0.000344367,88.0025,8.66402,2.61973e-011
488,1,0,44,1,79.1323,76.3101,89.4089,0,0,0,0
488,16,266485,44,1,74.3436,77.3871,6.19562e-007,0.000377223,93.1673,0.717787,2.03693e-011
489,1,0,44,1,78.557,76.3553,87.2352,0,0,0,0
489,16,300553,44,1,69.7635,77.7439,1.74215e-006,0.00032818,95.9675,0.945171,1.42954e-011
490,1,0,44,1,81.2283,77.2544,88.1346,0,0,0,0
490,16,288968,44,1,92.0845,85.2845,7.66671e-007,0.000346149,82.681,5.36938,2.3377e-011
491,1,0,44,1,80.8999,76.6285,88.7789,0,0,0,0
491,16,276872,44,1,89.3022,80.0492,2.23275e-007,0.000361835,84.3608,2.28425,2.07482e-011
492,1,0,44,1,78.2069,78.0202,86.6195,0,0,0,0
492,4,305633,44,1,67.2779,91,3.49182,0.000312913,97.7847,9.16051,6.58911e-012
493,1,0,44,1,79.6453,77.2837,88.4593,0,0,0,0
493,16,281390,44,1,78.7426,85.5144,8.93798e-007,0.000354673,90.5874,5.5261,1.39901e-011
494,1,0,44,1,77.8263,76.7589,88.5364,0,0,0,0
494,16,284205,44,1,63.2391,81.175,1.26133e-006,0.000354327,99.7044,2.92707,2.34562e-011
495,1,0,44,1,79.6573,75.0465,88.501,0,0,0,0
495,16,280743,44,1,78.8428,66.8172,9.4629e-007,0.000355632,90.5282,-5.51986,1.24964e-011
496,1,0,44,1,78.2151,77.1825,87.4867,0,0,0,0
496,16,299340,44,1,66.8002,84.6336,1.12793e-006,0.000332128,97.7112,5.01806,1.94874e-011
497,1,0,44,1,79.5046,77.8779,88.4097,0,0,0,0
497,16,284424,44,1,77.5542,90.5244,1.77713e-006,0.000352368,91.2934,8.45718,1.1526e-011
498,1,0,44,1,81.186,77.2734,90.3034,0,0,0,0
498,16,257457,44,1,91.8711,85.6305,6.34809e-007,0.000396919,82.9734,5.45169,1.78213e-011
499,1,0,44,1,80.5056,77.1297,88.3363,0,0,0,0
499,16,283421,44,1,85.9769,84.2151,5.8761e-007,0.00035187,86.2946,4.75873,1.06336e-011
500,1,0,44,1,78.3349,77.0242,88.6173,0,0,0,0
500,16,281133,44,1,67.6163,83.3917,1.50611e-006,0.000357116,97.1494,4.23984,1.14364e-011
------ Begin Next Fly'm ------


"Begin Fly'm (Mon Jun 17 14:41:41 2024)"
"Ions Flown Separately, Comp Quality(3)"
"Number of Ions to Fly = 500"
"Changes:","Mass","Charge","X","Y","Z","KE","Azm","Elv","Time of Birth"
" ","NO ","NO ","YES","YES","YES","NO ","NO ","NO ","NO "


"Ion N","Events","TOF","Mass","Charge","X","Y","Z","Vt","Azm","Elv","KE Error"

1,1,0,44,1,78.9894,77.2446,88.4619,0,0,0,0
1,16,282012,44,1,73.2148,85.2011,1.07445e-006,0.0003544,93.8633,5.331,1.09482e-011
2,1,0,44,1,77.8126,76.0145,86.0798,0,0,0,0
2,16,322920,44,1,63.7081,74.9329,3.96985e-007,0.000303779,99.6623,-0.736995,2.44825e-011
3,1,0,44,1,81.1739,76.6769,90.704,0,0,0,0
3,16,250855,44,1,91.7738,80.5258,3.79323e-007,0.000407888,83.0609,2.50689,2.18215e-011
4,1,0,44,1,80.4073,77.4703,87.3063,0,0,0,0
4,16,300200,44,1,85.1633,86.9624,1.86381e-006,0.000329321,86.7353,6.44307,1.45992e-011
5,1,0,44,1,80.6366,75.2443,86.2915,0,0,0,0
5,16,315916,44,1,87.0398,68.6615,6.19437e-007,0.000309286,85.5612,-4.52462,2.01892e-011
6,1,0,44,1,79.0293,78.3844,90.9512,0,0,0,0
6,4,233631,44,1,73.6661,94,7.23053,0.000411483,93.7992,10.9732,4.35016e-011
7,1,0,44,1,78.1873,77.0618,86.641,0,0,0,0
7,16,312796,44,1,66.7257,83.5635,3.15814e-007,0.000314985,97.8196,4.42483,7.82906e-012
8,1,0,44,1,79.3547,76.4741,89.4329,0,0,0,0
8,16,265960,44,1,76.2256,78.7658,4.83817e-007,0.000377908,92.0633,1.52608,2.10765e-011
9,1,0,44,1,80.3575,77.6728,87.4357,0,0,0,0
9,16,298871,44,1,84.7584,88.6657,3.23749e-007,0.000331674,86.9817,7.44102,1.87099e-011
10,1,0,44,1,81.3186,76.851,87.3471,0,0,0,0
10,16,300590,44,1,92.7637,81.8547,2.18883e-007,0.000329718,82.218,3.38033,1.98262e-011
11,1,0,44,1,80.4026,75.6227,88.3905,0,0,0,0
11,16,281618,44,1,85.1095,71.6456,1.15253e-006,0.000353593,86.8102,-2.67241,1.38227e-011
12,1,0,44,1,80.0368,77.077,87.3997,0,0,0,0
12,16,296958,44,1,82.0635,83.6883,1.66937e-006,0.000332116,88.5968,4.49937,9.32329e-012
13,1,0,44,1,79.8188,75.1908,87.2194,0,0,0,0
13,16,299859,44,1,80.262,68.163,8.61194e-007,0.000328358,89.6759,-4.78987,2.69358e-011
14,1,0,44,1,79.326,75.3922,89.8102,0,0,0,0
14,16,261318,44,1,75.9462,69.6193,1.34108e-006,0.000386625,92.2208,-3.81623,3.41462e-011
15,1,0,44,1,78.0867,75.4763,90.7742,0,0,0,0
15,16,251468,44,1,65.0558,70.2022,1.2868e-006,0.000408597,98.4661,-3.41427,1.71904e-011
16,1,0,44,1,80.352,74.8082,90.2816,0,0,0,0
16,16,256547,44,1,84.7184,64.5564,3.6775e-007,0.000397144,87.1039,-6.71772,1.70092e-011
17,1,0,44,1,81.2604,75.5535,86.1437,0,0,0,0
17,16,319969,44,1,92.1929,71.1713,3.84461e-007,0.000305753,82.4529,-3.00359,1.74576e-011
18,1,0,44,1,79.1135,75.7487,89.6268,0,0,0,0
18,16,263651,44,1,74.1569,72.646,2.12886e-007,0.000382295,93.2708,-2.05496,1.71521e-011
19,1,0,44,1,77.9378,76.1017,90.9358,0,0,0,0
19,16,249311,44,1,63.7412,75.6047,1.01859e-007,0.000412832,99.196,-0.319815,4.98483e-011
20,1,0,44,1,81.2019,76.7344,90.4694,0,0,0,0
20,16,254140,44,1,91.9973,81.0096,8.64934e-007,0.000401827,82.9155,2.79051,3.20619e-011
21,1,0,44,1,80.6541,77.1407,90.6902,0,0,0,0
21,16,250458,44,1,87.2816,84.4962,1.48347e-007,0.00040792,85.6403,4.80268,1.90548e-011
22,1,0,44,1,78.091,75.7939,88.8468,0,0,0,0
22,16,278000,44,1,65.4884,73.0282,1.24259e-006,0.000362154,98.3721,-1.83218,1.82122e-011
23,1,0,44,1,79.3515,78.2242,88.2781,0,0,0,0
23,16,288343,44,1,76.2634,93.4748,7.50814e-007,0.000348472,92.0627,10.1759,1.98557e-011
24,1,0,44,1,77.6631,76.7387,87.2696,0,0,0,0
24,16,304744,44,1,62.1307,80.9431,9.86743e-007,0.000326748,100.474,2.82264,2.31523e-011
25,1,0,44,1,81.4864,76.5189,87.4342,0,0,0,0
25,16,299564,44,1,94.1874,79.1108,1.78e-006,0.000331348,81.3876,1.74756,1.28336e-011
26,1,0,44,1,81.0312,77.2524,89.8417,0,0,0,0
26,16,263259,44,1,90.4977,85.4001,1.25344e-006,0.000385897,83.7324,5.35233,1.65838e-011
27,1,0,44,1,79.0013,75.2759,90.1906,0,0,0,0
27,16,256805,44,1,73.1273,68.5932,1.71186e-006,0.000395537,93.8537,-4.39017,2.42698e-011
28,1,0,44,1,79.8035,77.1136,87.0593,0,0,0,0
28,16,302385,44,1,80.1449,83.9649,1.56993e-006,0.000325045,89.7448,4.68213,2.94349e-011
