loss,V3,V6,V9,V10,V11,V12,V15,V18,pred_detector_active_contact_fraction,pred_detector_active_forward_fraction,pred_detector_contact_angle_theta_mean_deg,pred_detector_contact_angle_theta_sigma_deg,unc_detector_active_contact_fraction,unc_detector_active_forward_fraction,unc_detector_contact_angle_theta_mean_deg,unc_detector_contact_angle_theta_sigma_deg
0.00837724655866623,-746.94189453125,-968.3546752929688,882.9881591796875,-22.0364990234375,-18.4927978515625,-660.3270263671875,-316.4427490234375,-96.17999267578125,0.7996548414230347,1.000428557395935,3.4960098266601562,1.6141325235366821,0.011863717809319496,0.0016291597858071327,0.036188460886478424,0.0260324589908123
0.008486227132380009,-737.48828125,-980.6716918945312,840.977294921875,-26.61322021484375,-38.38739013671875,-693.34130859375,-323.24224853515625,-148.133056640625,0.8006173968315125,0.9999914169311523,3.4843010902404785,1.6285597085952759,0.014549910090863705,0.0016880350885912776,0.026183156296610832,0.031236819922924042
0.008879373781383038,-745.2650146484375,-993.8009033203125,907.615234375,-23.660888671875,-18.61822509765625,-660.7770385742188,-334.616943359375,-78.79168701171875,0.8003175854682922,1.0003716945648193,3.489028215408325,1.6337999105453491,0.008219954557716846,0.0014121263520792127,0.024554528295993805,0.03605553135275841
0.010328716598451138,-734.123046875,-999.93798828125,883.8895263671875,-39.25836181640625,-55.21514892578125,-720.195068359375,-309.02679443359375,-118.82000732421875,0.8007837533950806,0.999413013458252,3.484492778778076,1.630135178565979,0.01738455519080162,0.0014080830151215196,0.05633388087153435,0.03388028219342232
0.011245970614254475,-855.920166015625,-769.5374145507812,625.02880859375,-57.84808349609375,-65.9119873046875,-771.1699829101562,-233.03466796875,-178.98431396484375,0.8003268241882324,1.001192331314087,3.5065245628356934,1.6050468683242798,0.012490523047745228,0.00418416503816843,0.008272621780633926,0.16513866186141968
0.01434525940567255,-851.0924682617188,-801.3682861328125,926.3692626953125,-111.3702392578125,-119.17535400390625,-853.1820678710938,-227.79486083984375,48.259765625,0.8002622723579407,1.0017181634902954,3.4884886741638184,1.6213560104370117,0.023570019751787186,0.0041770050302147865,0.08690991997718811,0.10664021968841553
0.014429686591029167,-797.4217529296875,-835.6673583984375,949.093994140625,-127.76629638671875,-154.44818115234375,-902.66064453125,-234.31524658203125,-7.52911376953125,0.8005174398422241,1.0023256540298462,3.4926772117614746,1.617295265197754,0.022956470027565956,0.004765999037772417,0.16981317102909088,0.016717128455638885
0.016275329515337944,-821.0150756835938,-853.7505493164062,810.8970947265625,-75.09552001953125,-141.20733642578125,-816.8350830078125,-958.087646484375,-207.6654052734375,0.8012310266494751,0.999923825263977,3.5329012870788574,1.6020463705062866,0.05153749883174896,0.006246334873139858,0.14488030970096588,0.03271769732236862
0.017122065648436546,-851.5166015625,-852.7037353515625,848.0809326171875,-90.13909912109375,-155.5902099609375,-839.175048828125,-975.9181518554688,-188.40521240234375,0.8016543388366699,0.9995104074478149,3.531404972076416,1.609584093093872,0.057398028671741486,0.007127923890948296,0.13471557199954987,0.041786324232816696
0.019808268174529076,-989.3020629882812,-588.4961547851562,109.0777587890625,81.8492431640625,182.378173828125,-605.0263671875,135.398681640625,-27.0887451171875,0.801196277141571,0.9992936849594116,3.517761707305908,1.6042468547821045,0.077301986515522,0.014567234553396702,0.052906934171915054,0.28787165880203247
